epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3147.82,0.7881,0.59263,0.99135,0.9119,0.79673,0.83534,0.587,1.27207,0.87853,1.27257,0.000282815,0.000282815,0.000282815
63,3197.92,0.77284,0.56809,0.96993,0.9125,0.8054,0.83505,0.60758,1.26145,0.85674,1.24721,0.000275747,0.000275747,0.000275747
64,3247.66,0.75062,0.5693,0.97323,0.90715,0.80126,0.83614,0.59645,1.28395,0.86626,1.28533,0.000268678,0.000268678,0.000268678
65,3297.51,0.77322,0.57313,0.97735,0.90362,0.80027,0.8319,0.59287,1.27512,0.88052,1.29398,0.00026161,0.00026161,0.00026161
66,3347.34,0.74811,0.5456,0.97326,0.8883,0.80649,0.83375,0.59689,1.26706,0.90919,1.28437,0.000254541,0.000254541,0.000254541
67,3397.19,0.75887,0.55877,0.97085,0.89094,0.80171,0.83006,0.59385,1.29191,0.91286,1.31222,0.000247472,0.000247472,0.000247472
68,3447.12,0.75434,0.55342,0.96432,0.90259,0.80064,0.83421,0.59049,1.29308,0.86385,1.30793,0.000240404,0.000240404,0.000240404
69,3497,0.75426,0.54487,0.96807,0.88581,0.80544,0.84001,0.594,1.27573,0.89814,1.27603,0.000233335,0.000233335,0.000233335
70,3546.76,0.72591,0.52543,0.94659,0.8902,0.82121,0.83543,0.59775,1.27461,0.88474,1.27401,0.000226267,0.000226267,0.000226267
71,3596.58,0.73053,0.5364,0.95793,0.9081,0.8256,0.83479,0.59382,1.27716,0.88003,1.27096,0.000219198,0.000219198,0.000219198
72,3646.45,0.73241,0.52018,0.95215,0.89366,0.82139,0.83497,0.59196,1.29085,0.87742,1.2856,0.000212129,0.000212129,0.000212129
73,3696.26,0.72901,0.54251,0.95604,0.92357,0.80465,0.83496,0.5989,1.27348,0.86877,1.2741,0.000205061,0.000205061,0.000205061
74,3746.07,0.72092,0.52344,0.95799,0.92318,0.80842,0.84303,0.60049,1.28574,0.86243,1.27996,0.000197992,0.000197992,0.000197992
75,3795.99,0.71964,0.52415,0.95196,0.91886,0.82188,0.84994,0.60907,1.2585,0.84974,1.25928,0.000190924,0.000190924,0.000190924
76,3845.82,0.70469,0.52494,0.96025,0.92496,0.80991,0.84892,0.60428,1.2699,0.84647,1.26692,0.000183855,0.000183855,0.000183855
77,3895.6,0.71414,0.53366,0.95992,0.9099,0.8123,0.84427,0.59677,1.27996,0.87917,1.27774,0.000176786,0.000176786,0.000176786
78,3945.49,0.69157,0.51978,0.94656,0.91181,0.80497,0.83954,0.5961,1.2726,0.88725,1.26966,0.000169718,0.000169718,0.000169718
79,3995.31,0.70133,0.51415,0.96026,0.92097,0.80518,0.84886,0.60443,1.26619,0.88147,1.2602,0.000162649,0.000162649,0.000162649
80,4045.19,0.70481,0.51151,0.95409,0.92334,0.80378,0.84841,0.60209,1.27779,0.86079,1.27125,0.000155581,0.000155581,0.000155581
81,4095.04,0.70422,0.51474,0.94564,0.90717,0.80667,0.83568,0.59002,1.2839,0.85816,1.27481,0.000148512,0.000148512,0.000148512
82,4144.9,0.68306,0.50273,0.9386,0.91406,0.81275,0.83579,0.59865,1.2945,0.87322,1.2852,0.000141443,0.000141443,0.000141443
83,4194.85,0.68621,0.50399,0.94512,0.90262,0.81612,0.83674,0.59014,1.29028,0.87483,1.28081,0.000134375,0.000134375,0.000134375
84,4244.81,0.68535,0.50007,0.93822,0.90197,0.82632,0.84274,0.59748,1.29994,0.8694,1.28651,0.000127306,0.000127306,0.000127306
85,4294.57,0.67761,0.49667,0.93959,0.8976,0.82151,0.84867,0.60855,1.27982,0.85879,1.2729,0.000120238,0.000120238,0.000120238
86,4344.41,0.67282,0.48643,0.93593,0.91106,0.81097,0.83721,0.59285,1.28917,0.85552,1.28294,0.000113169,0.000113169,0.000113169
87,4394.33,0.66101,0.47656,0.93401,0.92701,0.80766,0.84614,0.60256,1.29381,0.85383,1.2854,0.0001061,0.0001061,0.0001061
